,Headline,Body ID,Stance
0,Police find mass graves with at least '15 bodies' near Mexico town where 43 students disappeared after police clash,712,0
1,Hundreds of Palestinians flee floods in Gaza as Israel opens dams,158,1
2,"Christian Bale passes on role of Steve Jobs, actor reportedly felt he wasn't right for part",137,0
3,HBO and Apple in Talks for $15/Month Apple TV Streaming Service Launching in April,1034,0
4,Spider burrowed through tourist's stomach and up into his chest,1923,0
5,'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,154,1
6,"Accused Boston Marathon Bomber Severely Injured In Prison, May Never Walk Or Talk Again",962,0
7,Identity of ISIS terrorist known as 'Jihadi John' reportedly revealed,2033,0
8,Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,1739,1
9,British Aid Worker Confirmed Murdered By ISIS,882,0
10,Gateway Pundit,2327,1
11,"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1468,1
12,Kidnapped Nigerian schoolgirls: Government claims ceasefire deal with Boko Haram that will bring missing girls home,1003,0
13,"No, that high school kid didn't make $72 million trading stocks",2132,0
14,"Soon Marijuana May Lead to Ticket, Not Arrest, in New York",47,1
15,Vandals add rude paint job to $2.5m Bugatti (but luckily for the owner it all turned out to be a hoax),615,0
16,Boko Haram Denies Nigeria Cease-Fire Claim,2463,1
17,"No, Robert Plant Didn’t Rip Up an $800 Million Contract",295,1
18,N. Korea’s Kim has leg injury but in control,570,0
19,ISIL Beheads American Photojournalist in Iraq,608,1
20,Tropical spider burrows under man's skin through scar,1500,0
21,Boko Haram ceasefire ignored as violence flares in Borno state,1681,1
22,NBC's Tom Brokaw reportedly wants Brian Williams fired over fabricated Iraq helicopter story,1545,0
23,Would you take a bite out of the world's oldest burger? Men keep Quarter Pounder they bought 20 YEARS ago for a friend who never showed up to meet them,1196,0
24,NET Extra: Back-from-the-dead Catholic priest claims God is a female,1014,1
25,Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,633,1
26,"Luke Somers Dies In Rescue Attempt, Sister Says; Yemeni Defense Ministry Says Unnamed US Hostage Freed",56,0
27,Christian Bale Exits Steve Jobs Movie (Exclusive),1658,0
28,Microsoft Tried Out Robot Security Guards on Its Silicon Valley Campus,2327,0
29,Report: Christian Bale Just Bailed on the Steve Jobs Movie,1157,1
30,Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,132,0
31,Insurgents killed in Nigeria despite alleged truce with Boko Haram,1896,1
32,"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",2344,0
33,"SEE IT: ISIS militants caught trying to cross border into Texas, Congressman claims",625,0
34,"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",2176,0
35,Report: ISIS Leader Abu Bakr Al-Baghdadi Assassinated In U.S. Airstrike,394,1
36,Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,2161,1
37,Would-be rapist has penis severed by angry mob,1040,0
38,Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,1251,0
39,Taylor Lianne Chandler: Michael Phelps' Cougar Girlfriend Revealed?,1337,0
40,"At CBS Detroit, Fan Site 'Scuttlebutt' Is Enough to Publish Batmobile Rumor",280,0
41,Nasa questions whether crater in Nicaragua caused by meteorite,534,0
42,Seth Rogen Is Woz,213,0
43,"That Story About a Catholic Priest Dying, Seeing God as a Woman, and Coming Back to Life? It’s Almost Definitely Fake",1299,0
44,Experts: More facts needed on purported audio recording of Michael Brown shooting,1481,0
45,"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",289,0
46,Student accidentally sets college on fire during fireworks proposal,1592,1
47,"Planetary Alignment On Jan 4, 2015 Will Decrease Gravity For 5 Minutes Causing Partial Weightlessness",2248,0
48,Rumors of ISIS leader's death debunked,1255,0
49,‘Banksy’ Instagram tribute to Charlie Hebdo victims not posted by artist,1120,0
50,Boko Haram ceasefire ignored as violence flares in Borno state,2045,0
51,BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,2296,0
52,Nigeria and Boko Haram 'agree ceasefire and girls' release',459,0
53,Pope Francis turns out not to have made pets in heaven comment,1905,0
54,British rapper a suspect in ISIS beheading,2295,0
55,Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,759,1
56,A Husband Breaks Down In Tears After Lost Voicemail Message By His Late Wife Is Recovered,2406,0
57,Bali Awry,181,0
58,Islamic State Leader al-Baghdadi “Not Dead”,2036,0
59,Eggnog-chugging contest leads to hospital stay,941,0
60,"No, it's not Tiger Woods selling an island in Lake Mälaren",965,0
61,"Why the Gold Apple Watch Edition Must Cost $10,000",816,0
62,Would-be rapist has penis severed by angry mob,2106,0
63,Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,367,0
64,[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,373,0
65,Amazon's first brick-and-mortar store said to open in Manhattan,1934,0
66,Did Kim Yo-Jong Take Kim Jong Un’s Role? North Korea Ill Health Rumors Are ‘Fabricated’,1500,0
67,"Islamic State leader's family detained by Lebanon, officials say",703,1
68,US confirms death of Somalia terror group leader,167,0
69,Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,1175,0
70,ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,1034,0
71,Spider Burrows Into Australian Man's Appendix Scar (VIDEO),724,0
72,Indian civil servant sacked 'after 24-year sickie',2441,1
73,Batmobile wasn't stolen: Cops,1338,0
74,Michael Brown shooting audio caught on tape?,2248,0
75,BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,1040,0
76,Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,527,0
77,Moment Michael Brown was shot dead 'caught on audio recording': FBI handed potentially damning tape of ELEVEN shots being fired - including final volley of 'kill shots',32,1
78,Saudi fatwa banning snowmen triggers heated debate,26,0
79,Paul Rudd Is Not the Viral Video Hero Who Tackled a Gay Basher in Dallas,487,0
80,"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",1089,1
81,Everyone chill! Banksy has NOT been arrested,1898,0
82,"UPDATE: Soldier, gunman who died in Ottawa rampage identified",205,0
83,New Audio Shows Michael Brown Was Shot at 11 Times,1435,0
84,"No, Islamic State Militants Have Not Been Caught by U.S. Border Patrol",190,0
85,Report: Audio Reveals Pause Between Gunshots When Michael Brown Was Shot,1808,0
86,Canadian official identifies dead Ottawa gunman as Michael Zehaf-Bibeau,2246,1
87,Mystery woman behind the 'richest hands on the internet' revealed: Former pornstar 'makes $5m a year unwrapping Disney toys on YouTube',1315,1
88,"Apple 12-Inch MacBook Air Details Emerge; Device Could Be Thinner, Lighter Than Current Model",1362,1
89,Jihadi John identity revealed as Mohammed Emwazi: live,2033,0
90,IS militant 'Jihadi John' named as Mohammed Emwazi from London,472,0
91,Wife and son of Isil leader Abu Bakr al-Baghdadi 'detained at Lebanon border',1125,0
92,Islamic State militants allegedly used chlorine gas against Iraqi security forces,1590,1
93,Former PGA Tour player: Tiger Woods suspended for drug test failure,2240,0
94,Zack Snyder Responds to Fake Stolen Batmobile Report,702,0
95,Ottawa investigates reports that Isis has captured Canadian-Israeli woman,1165,0
96,Priest who died for 48 minutes says he met God and she’s a woman,1720,0
97,Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,1358,0
98,"Fidel Castro Dead? Yes, He Is… But The Cuban Leader Is Alive, Death Rumors Proven False",1832,0
99,"CNN Broadcasts Purported Audio Containing Gunshots That Felled Michael Brown Jr.; Leaders, Celebrities Fill Pews At Teen’s Funeral",346,0
100,Magic mushrooms found in BUCKINGHAM PALACE by Alan Titchmarsh,1374,0
101,"Video showing American journalist beheaded believed real, officials and family say",2404,0
102,Canadian Soldier Shot At Ottawa War Memorial: Report,1744,0
103,Audio recording allegedly captures moment Michael Brown was shot,1832,0
104,Kim Jong-un 'set to open a new restaurant in SCOTLAND',1406,0
105,New Audio Reveals Pause in Gunfire When Michael Brown Was Shot: Attorney,1818,1
106,"11 Tripoli Planes Still Missing, Sparks 9/11 Concerns",1958,1
107,"NYPD to issue tickets instead of arrest for weed possession, report says",775,0
108,India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,2115,1
109,Michael Phelps’ alleged girlfriend says she was born intersex,1849,0
110,Seth Rogen reported to play Woz in the upcoming Steve Jobs movie,1966,0
111,How did a Texas plumber's truck end up with Syrian rebels? (+video),2174,0
112,Nigeria announces truce with Boko Haram; fate of schoolgirls unclear,992,0
113,ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2526,0
114,Scientists Doubt That Meteor Caused Crater In Nicaragua,731,0
115,Christian Bale In Talks To Play Steve Jobs In Sony's Next Biopic,2097,0
116,Nigeria Says Boko Haram Cease-Fire May Lead to Release of Kidnapped Girls,2045,0
117,"Calm Yourselves, Durex Has NOT Come Out With A Pumpkin Spice Condom",1212,0
118,Islamic State flying three jets in Syria: monitor,777,0
119,J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,2084,1
